Schools_Cleaned,Average hour per person,Retention rate,Average hour per person z-score,Retention rate z-score,Final score
emory university,60.76960784313726,0.7293233082706767,0.08078843944170341,-0.013450103700365198,0.033669167870669106
georgia gwinnett college,40.0,0.7297297297297297,-1.8157797806607767,-0.0103419660564811,-0.913060873358629
georgia state university,59.1578947368421,0.7157894736842105,-0.0663844817038469,-0.11695108724171337,-0.09166778447278014
kennesaw state university,57.166666666666664,0.7253218884120172,-0.24821265609176957,-0.04405125286375863,-0.14613195447776411
mercer university,65.3,0.6037735849056604,0.49447934079141065,-0.9736007371814248,-0.23956069819500708
south college atlanta,60.0,1.0,0.010512014953600818,2.0565695671265964,1.0335407910400987
university of north georgia,76.8,0.6136363636363636,1.5445971232696778,-0.8981744200828482,0.3232113515934148
