school_name,school_type,year,pass_rate,total_delivered,completion_rate,slot_fill_rate,total_student_count,sample_size,retention_rate
lagrange college,Bachelors,2025,62.5,16.0,,,,7.0,0.5714285714285714
middle georgia state university,Bachelors,2022,93.18,132.0,,,,22.0,0.5454545454545454
middle georgia state university,Bachelors,2023,97.52,121.0,,,,22.0,0.5454545454545454
middle georgia state university,Bachelors,2024,100.0,88.0,,,,22.0,0.5454545454545454
middle georgia state university,Bachelors,2025,96.77,31.0,,,,22.0,0.5454545454545454
piedmont university,Bachelors,2022,78.33,60.0,,,,5.0,1.0
piedmont university,Bachelors,2023,95.89,73.0,,,,5.0,1.0
piedmont university,Bachelors,2024,86.15,65.0,,,,5.0,1.0
piedmont university,Bachelors,2025,88.14,59.0,,,,5.0,1.0
reinhardt university,Bachelors,2022,84.0,25.0,,,,5.0,0.4
reinhardt university,Bachelors,2023,94.59,37.0,,,,5.0,0.4
reinhardt university,Bachelors,2024,100.0,20.0,,,,5.0,0.4
reinhardt university,Bachelors,2025,100.0,32.0,,,,5.0,0.4
shorter university,Bachelors,2022,89.47,19.0,,,,6.0,0.6666666666666666
shorter university,Bachelors,2023,85.71,28.0,,,,6.0,0.6666666666666666
shorter university,Bachelors,2024,92.31,26.0,,,,6.0,0.6666666666666666
shorter university,Bachelors,2025,71.43,21.0,,,,6.0,0.6666666666666666
south college,Bachelors,2022,89.71,68.0,,,,28.0,0.8571428571428571
south college,Bachelors,2023,97.22,36.0,,,,28.0,0.8571428571428571
south college,Bachelors,2024,86.36,88.0,,,,28.0,0.8571428571428571
south college,Bachelors,2025,69.12,136.0,,,,28.0,0.8571428571428571
south university,Bachelors,2025,100.0,3.0,,,,3.0,0.3333333333333333
toccoa falls college,Bachelors,2022,50.0,14.0,,,,1.0,1.0
toccoa falls college,Bachelors,2023,91.3,23.0,,,,1.0,1.0
toccoa falls college,Bachelors,2024,100.0,9.0,,,,1.0,1.0
toccoa falls college,Bachelors,2025,100.0,6.0,,,,1.0,1.0
truett-mcconnell university,Bachelors,2022,85.0,20.0,,,,,
truett-mcconnell university,Bachelors,2023,93.33,15.0,,,,,
truett-mcconnell university,Bachelors,2024,100.0,13.0,,,,,
truett-mcconnell university,Bachelors,2025,100.0,18.0,,,,,
university of north georgia,Bachelors,2022,87.77,188.0,,,,90.0,0.6333333333333333
university of north georgia,Bachelors,2023,95.65,161.0,,,,90.0,0.6333333333333333
university of north georgia,Bachelors,2024,96.74,184.0,,,,90.0,0.6333333333333333
university of north georgia,Bachelors,2025,92.54,201.0,,,,90.0,0.6333333333333333
university of west georgia,Bachelors,2022,71.64,134.0,,,,102.0,0.7745098039215687
university of west georgia,Bachelors,2023,84.43,167.0,,,,102.0,0.7745098039215687
university of west georgia,Bachelors,2024,93.01,143.0,,,,102.0,0.7745098039215687
university of west georgia,Bachelors,2025,83.33,150.0,,,,102.0,0.7745098039215687
valdosta state university,Bachelors,2022,83.72,86.0,,,,37.0,0.7837837837837838
valdosta state university,Bachelors,2023,94.05,84.0,,,,37.0,0.7837837837837838
valdosta state university,Bachelors,2024,94.05,84.0,,,,37.0,0.7837837837837838
valdosta state university,Bachelors,2025,95.71,70.0,,,,37.0,0.7837837837837838
wesleyan college,Bachelors,2022,71.88,31.0,,,,5.0,0.4
wesleyan college,Bachelors,2023,100.0,24.0,,,,5.0,0.4
wesleyan college,Bachelors,2024,88.89,18.0,,,,5.0,0.4
wesleyan college,Bachelors,2025,86.67,15.0,,,,5.0,0.4
