Schools_Cleaned,Completion %,Average hour per person,Retention rate,Completion % z-score,Average hour per person z-score,Retention rate z-score,Final score
brenau university,0.09302325581395349,118.55813953488372,0.7065217391304348,-0.9876783424428476,2.252415478118043,-0.23147899820599702,0.3444193791563994
emory university,0.9261744966442953,59.986577181208055,0.7293233082706767,1.254594923632846,-0.15363731533147487,-0.03238640090676319,0.35619040246486927
georgia gwinnett college,0.2972972972972973,47.351351351351354,0.7297297297297297,-0.43791234591760037,-0.6726779415695148,-0.028837719525085733,-0.37980933567073366
georgia state university,0.38333333333333336,61.6,0.7157894736842105,-0.20636218543237703,-0.08735975120011713,-0.15055749091663118,-0.1480931425163751
kennesaw state university,0.9444444444444444,43.22222222222222,0.7253218884120172,1.3037651264930672,-0.8422978437272289,-0.06732492060448296,0.13138078738711842
mercer university,0.7857142857142857,68.07142857142857,0.6037735849056604,0.8765721103896883,0.1784791331696387,-1.1286276447089971,-0.024525467049890004
south college atlanta,0.0851063829787234,60.0,1.0,-1.0089851489857573,-0.15308592128712087,2.3310353992905943,0.3896547763392387
university of north georgia,0.625,78.75,0.6136363636363636,0.4440391815850172,0.6171426344199535,-1.0425104910163663,0.006223774996201452
university of west georgia,0.0,36.0,0.7731958762886598,-1.238033319322037,-1.138978472592176,0.35068826659372504,-0.6754411751068292
